,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,population,density,violent_crime,property_crime,other_crime,median_income,yr_sold,mon_sold,day_of_week,dist_to_loc0,dist_to_loc1,dist_to_loc2
10,662500.0,3,2.5,3560,9796,1.0,0,0,3,8,1860,1700,1965,0,47.6007,-122.145,2210,8925,24889,5684.0,3.552,19.12,3.245,73162,2015,4,5,8.724750564676699,2.7763394911672132,12.702615744092018
11,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,47.69,-122.292,1330,6000,46206,7018.0,2.088,23.37,3.881,84159,2014,5,2,6.083510803888873,8.32777850017264,16.654693823899983
12,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,47.7558,-122.229,1780,12697,20419,3606.0,1.677,10.92,3.339,82448,2014,5,3,11.394932547389104,9.27261374935525,21.44603776800859
13,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,47.6127,-122.045,1370,10208,25748,2411.0,2.266,7.717,2.082,143686,2014,10,2,13.38119377747412,4.348843823883783,16.374454738265438
14,530000.0,5,2.0,1810,4850,1.5,0,0,3,7,1810,0,1900,0,47.67,-122.394,1360,4850,21147,9602.0,3.426,39.18,6.113,67566,2015,3,4,5.266616599363086,12.489305811097175,15.901878314295299
15,650000.0,4,3.0,2950,5000,2.0,0,3,3,9,1980,970,1979,0,47.5714,-122.375,2140,4000,20698,6732.0,3.632,30.94,8.22,66408,2015,1,6,3.126996424840395,12.36683228881005,9.174413962537804
16,395000.0,3,2.0,1890,14040,2.0,0,0,3,7,1890,0,1994,0,47.7277,-121.962,1890,14018,10725,141.0,3.154,10.96,6.284,95025,2014,7,4,19.158198585269812,9.891605852926624,24.842455948799
17,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,47.6648,-122.343,1610,4300,45911,9905.0,3.018,37.68,5.193,75763,2014,5,4,4.080594289998213,10.089693914768466,15.052269720001659
18,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,47.3089,-122.21,1060,5095,31647,4423.0,3.55,37.61,6.282,43568,2014,12,5,21.318943509283887,23.149817162222483,10.534003719461046
19,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,47.3343,-122.306,1280,8850,44151,3800.0,3.001,38.95,9.487,45894,2015,4,5,18.82619192713217,22.640580976829256,7.932245359368457
20,385000.0,4,1.75,1620,4980,1.0,0,0,4,7,860,760,1947,0,47.7025,-122.341,1400,4980,44555,6279.0,3.071,24.08,5.365,51499,2014,5,3,6.666642312685094,10.76023926114193,17.625457052822398
21,2000000.0,3,2.75,3050,44867,1.0,0,4,3,9,2330,720,1968,0,47.5316,-122.233,4110,20336,22699,3591.0,2.093,19.23,3.915,126359,2014,8,2,6.921775840787944,8.87953979765228,6.4814650766627055
22,285000.0,5,2.5,2270,6300,2.0,0,0,3,8,2270,0,1995,0,47.3266,-122.169,2240,7005,39816,892.0,1.833,16.39,5.579,70877,2014,7,4,20.766557422696994,21.698075397354494,10.411092089835742
23,252700.0,2,1.5,1070,9643,1.0,0,0,3,7,1070,0,1985,0,47.3533,-122.166,1220,8386,33769,4741.0,2.572,43.34,15.31,51446,2014,5,5,19.11801901276423,19.848003044208586,9.07165787393458
24,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,47.3739,-122.172,2200,6865,33769,4741.0,2.572,43.34,15.31,51446,2014,11,4,17.70571236079203,18.458284657832184,7.878916135281096
25,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,47.3048,-122.218,1030,4705,31647,4423.0,3.55,37.61,6.282,43568,2014,11,1,21.49637570795287,23.49226117403217,10.65650121759332
26,937000.0,3,1.75,2450,2691,2.0,0,0,3,8,1750,700,1915,0,47.6386,-122.36,1760,3573,21039,8638.0,3.651,34.07,7.256,68383,2014,6,4,2.5883898670230816,10.731225266573652,13.407602175864993
27,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,47.6221,-122.314,1860,3861,21077,6667.0,3.092,28.09,5.011,96054,2014,12,1,1.3847951964675653,8.674563864734461,11.98118664953798
28,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,47.695,-122.304,1520,6235,46206,7018.0,2.088,23.37,3.881,84159,2014,6,2,6.273412015534289,8.979543118304756,16.998875578084238
29,719000.0,4,2.5,2570,7173,2.0,0,0,3,8,2570,0,2005,0,47.7073,-122.11,2630,6026,58442,2908.0,3.674,23.77,3.818,99192,2015,3,1,12.475519815563143,4.771620513109177,19.898582758704883
30,580500.0,3,2.5,2320,3980,2.0,0,0,3,8,2320,0,2003,0,47.5391,-122.07,2580,3980,26141,469.0,2.244,14.26,4.039,100644,2014,11,1,13.067766820436969,7.470637554224782,12.363176967292967
31,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,47.7274,-122.357,1390,1756,44555,6279.0,3.071,24.08,5.365,51499,2014,12,1,8.453974643099144,12.20132731960827,19.42605545080058
32,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,47.6823,-122.368,1460,5000,31365,7953.0,2.018,25.89,3.545,86986,2014,6,2,5.517248590574501,11.486057453595194,16.439320770799572
33,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,47.6889,-122.375,1570,5080,31365,7953.0,2.018,25.89,3.545,86986,2014,11,1,6.052963207377624,11.922882651013971,16.952038528295557
34,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,0,47.4276,-122.157,2020,8720,41938,2215.0,1.834,18.91,6.131,77780,2014,12,3,14.800142183760284,14.697133491177388,6.7898505788571635
35,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,47.6827,-122.31,1590,3264,46206,7018.0,2.088,23.37,3.881,84159,2014,6,5,5.384883875895529,8.914300908507245,16.15572997632885
36,550000.0,4,1.0,1660,34848,1.0,0,0,1,5,930,730,1933,0,47.6621,-122.132,2160,11467,58442,2908.0,3.674,23.77,3.818,99192,2014,5,3,10.08550571229278,1.5658561172491794,16.65201427737919
37,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,2360,0,1904,0,47.6702,-122.362,1730,4700,21147,9602.0,3.426,39.18,6.113,67566,2014,12,2,4.635950132452591,11.026827372399326,15.565099240069896
38,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,890,330,1969,0,47.3341,-122.282,1290,7800,31911,1717.0,2.401,18.87,8.3,71746,2015,2,5,18.945561253573835,22.270286756324392,7.977709184779234
39,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,2620,0,1996,0,47.5301,-122.18,2620,11884,32489,4323.0,2.242,21.56,5.088,70683,2014,6,5,8.827523463035869,7.916805216541807,7.884436834038024
40,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,2570,0,2000,0,47.6145,-122.027,2470,5669,25748,2411.0,2.266,7.717,2.082,143686,2014,7,2,14.223448844093117,5.075989696852309,17.074438761421714
41,775000.0,4,2.25,4220,24186,1.0,0,0,3,8,2600,1620,1984,0,47.445,-122.347,2410,30617,20301,3580.0,2.851,26.31,14.63,63320,2014,8,1,11.15964195567285,16.837851122118487,2.2691064026176977
42,861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,2014,0,47.6848,-122.016,3625,5639,18784,662.0,1.616,6.894,3.648,116518,2014,7,1,15.684585507296012,6.139476669565358,20.958539586303505
43,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1922,0,47.6413,-122.364,1580,2640,21039,8638.0,3.651,34.07,7.256,68383,2014,10,2,2.844026195702032,10.917693299705622,13.63032518454095
44,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,47.4485,-122.175,1340,8808,41938,2215.0,1.834,18.91,6.131,77780,2014,7,2,13.131914431785145,13.366505742914404,5.784637884909283
45,488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,2003,0,47.7443,-121.977,3050,9232,10725,141.0,3.154,10.96,6.284,95025,2014,7,5,19.078013798788092,10.135921853466263,25.32017680361019
46,210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,0,47.3066,-122.371,1228,8840,47510,4604.0,1.903,13.28,6.034,67906,2015,3,3,20.780209717874992,25.617882137682848,10.40275495376846
47,785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,1981,0,47.6194,-122.151,2680,13685,24889,5684.0,3.552,19.12,3.245,73162,2014,7,3,8.484601015153315,1.7120157616020246,13.6438711997476
48,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0,47.6796,-122.301,970,5100,46206,7018.0,2.088,23.37,3.881,84159,2015,4,2,5.274108048487828,8.448383386017019,15.933428310047821
49,1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,1953,0,47.4041,-122.451,2680,72513,10624,288.0,1.896,16.43,9.532,72774,2015,3,3,15.026281415176383,22.126344696736243,7.761495598783483
50,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0,47.4258,-122.322,1190,9364,10010,3194.0,3.255,54.56,12.2,45424,2014,9,2,12.473482266793326,17.281792060192746,1.9352397584325711
51,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,47.4934,-122.189,1990,9133,32489,4323.0,2.242,21.56,5.088,70683,2015,2,2,10.260537782332145,10.468830317420231,5.9757558550992655
52,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1950,0,47.6808,-122.384,1410,4080,31365,7953.0,2.018,25.89,3.545,86986,2014,12,3,5.692558100218942,12.182510542737,16.50122850666802
53,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1981,0,47.6989,-122.369,1480,6738,31365,7953.0,2.018,25.89,3.545,86986,2015,2,4,6.631286650609988,11.875366396296604,17.573947360789596
54,920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,47.6571,-122.281,2730,6000,43924,10643.0,12.91,47.57,6.293,45560,2015,3,2,4.246138676557384,7.155994669768859,14.402419912708154
55,885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1995,0,47.6597,-122.29,1950,5000,43924,10643.0,12.91,47.57,6.293,45560,2014,5,1,4.184114176270254,7.599908996607778,14.563907853655673
56,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,0,47.3663,-122.114,2250,4500,43673,1537.0,1.65,13.63,6.519,87342,2014,8,2,19.453899994327777,18.890366149232932,10.35983033913878
57,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,0,47.3663,-122.122,2690,4750,43673,1537.0,1.65,13.63,6.519,87342,2015,4,2,19.26100052687134,18.879752462142875,10.049907078335396
58,951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,1968,0,47.588,-122.116,2960,11044,24411,4437.0,2.916,19.67,3.812,92986,2014,8,3,10.146944602959858,3.613477481017065,12.845173704298933
59,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,1991,0,47.5059,-122.149,2270,8542,34463,1725.0,1.83,17.59,5.105,91465,2015,2,1,10.996434482489663,9.275617392627147,8.024597843061384
60,650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,1959,0,47.4336,-122.339,2570,18900,20301,3580.0,2.851,26.31,14.63,63320,2014,12,3,11.92998605121429,17.259601103740987,2.159017291695938
61,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1954,0,47.4366,-122.335,1290,8750,10010,3194.0,3.255,54.56,12.2,45424,2014,8,4,11.719139642749814,16.982984135840255,1.8962234141282552
62,505000.0,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,1973,0,47.4428,-122.344,2500,9500,20301,3580.0,2.851,26.31,14.63,63320,2014,10,2,11.303619299282435,16.87621830083029,2.155082949158122
63,549000.0,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,2014,0,47.6765,-122.32,1580,3090,46206,7018.0,2.088,23.37,3.881,84159,2014,12,7,4.889868183918519,9.226841221367396,15.749951891552405
64,425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1979,0,47.6113,-122.297,1440,4080,31454,13594.0,8.105,52.65,10.35,53570,2014,6,2,1.6725873544235161,8.03976450267732,11.214285936586096
65,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,47.5747,-122.304,1440,4000,26881,7895.0,5.649,61.92,9.129,55950,2014,11,4,2.5399987445027277,9.280368924828464,8.68851741755793
66,975000.0,4,2.5,2720,11049,2.0,0,0,3,10,2720,0,1989,0,47.5815,-122.192,2750,11049,27946,3977.0,5.314,49.68,4.461,93521,2014,9,2,6.747462502284458,4.9533259681723125,10.423657603751243
67,287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2005,0,47.3378,-122.257,2221,4557,31911,1717.0,2.401,18.87,8.3,71746,2014,10,4,18.873632032944247,21.679006302440378,7.928124108462205
68,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1968,0,47.3621,-122.11,1010,12635,43673,1537.0,1.65,13.63,6.519,87342,2014,8,1,19.79914287772517,19.188303030937256,10.677105805788393
69,1325000.0,5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,1965,0,47.6303,-122.215,3390,20158,27946,3977.0,5.314,49.68,4.461,93521,2014,6,4,5.702363799144332,4.03124635611317,13.122428115581826
70,1040000.0,5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,1973,0,47.6525,-122.16,3530,38917,17714,2361.0,4.162,31.85,4.769,84774,2014,9,5,8.62862715788665,1.6800322239401408,15.478986421694529
71,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,0,47.7362,-122.179,1640,4745,40407,4428.0,3.867,23.14,3.325,77688,2015,1,1,11.463911689028777,7.066956879325076,20.614053804584664
72,571000.0,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1916,0,47.7168,-122.287,1510,7807,37081,6879.0,3.736,34.6,6.566,53044,2014,6,2,7.924769081972127,9.067026229872052,18.51156916533334
73,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2005,0,47.3608,-122.036,2420,5000,31171,469.0,1.548,13.43,5.03,95043,2014,7,4,21.878172432175138,19.744934039001695,13.71751130197693
74,349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1965,0,47.3511,-122.073,1940,50529,43673,1537.0,1.65,13.63,6.519,87342,2015,3,1,21.37918793077607,20.100542093738856,12.540903473518936
75,832500.0,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,1986,0,47.5822,-121.987,3240,35020,20715,2185.0,2.348,8.634,2.954,142926,2014,11,3,16.16536331435831,7.728777655212223,17.216597545738082
76,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,0,47.6034,-122.125,1680,7500,24411,4437.0,2.916,19.67,3.812,92986,2014,10,1,9.649905135096441,2.5030853624128784,13.400058894838542
77,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,1941,0,47.5636,-122.394,890,5060,22241,7523.0,2.393,23.06,5.21,74274,2015,4,1,4.121354634606185,13.392257030209102,9.07969289834165
78,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,0,47.7073,-122.34,1130,5693,44555,6279.0,3.071,24.08,5.365,51499,2014,6,1,6.995081895657017,10.85622835203093,17.950019004328762
79,720000.0,4,2.5,3450,39683,2.0,0,0,3,10,3450,0,2002,0,47.342,-122.025,3350,39750,5025,334.0,1.616,12.73,41.72,85398,2015,3,1,23.214902667418265,21.12655158960135,14.787022686880015
80,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,0,47.3512,-122.008,2350,5363,31171,469.0,1.548,13.43,5.03,95043,2014,12,2,23.22696628153738,20.71162005825951,15.186377686970086
81,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,0,47.349,-122.031,1870,6405,31171,469.0,1.548,13.43,5.03,95043,2014,12,1,22.66102639699368,20.59183669481699,14.304153349184812
82,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,0,47.5474,-122.291,1720,6720,42731,6841.0,4.377,32.55,6.045,52276,2014,10,2,4.491741736285151,9.855186361902238,6.808601830098371
83,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,0,47.4811,-122.149,1850,8797,34463,1725.0,1.83,17.59,5.105,91465,2015,1,3,12.150813514750531,10.982204820958824,7.340308060113511
84,315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,0,47.7264,-122.31,1570,7203,37081,6879.0,3.736,34.6,6.566,53044,2014,6,1,8.368532536392081,10.322188627014414,19.17380688605913
85,940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,1925,0,47.6337,-122.365,2020,4800,21039,8638.0,3.651,34.07,7.256,68383,2014,11,5,2.44091825945152,10.971657732363196,13.129909514559635
86,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,47.2909,-122.189,1590,8165,39816,892.0,1.833,16.39,5.579,70877,2014,11,1,22.788352497219385,24.246015387092935,12.071808592270571
87,461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,2006,0,47.5228,-122.199,1900,7349,32489,4323.0,2.242,21.56,5.088,70683,2014,6,3,8.468321340717573,8.689583009604135,6.907633829985113
88,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,0,47.518,-122.194,1950,2025,32489,4323.0,2.242,21.56,5.088,70683,2014,5,1,8.865433220693106,8.91698872989772,6.831952607041833
89,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,0,47.5394,-122.387,1030,1106,14770,6425.0,2.345,21.83,3.563,84344,2014,9,4,5.277488839696775,13.849958690137399,7.481189365822095
90,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,0,47.2897,-122.372,1980,7510,47510,4604.0,1.903,13.28,6.034,67906,2014,5,4,21.947607333743417,26.69181937361015,11.52738755230081
91,1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2001,0,47.6506,-122.391,2520,6250,19686,4714.0,2.054,22.9,5.713,82882,2015,3,3,4.115039385977408,12.197002893428762,14.577896511258045
92,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,0,47.322,-122.351,1350,10500,47510,4604.0,1.903,13.28,6.034,67906,2015,2,4,19.656377328353205,24.253453369064484,9.108399707606429
93,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,47.687,-122.386,1570,4500,31365,7953.0,2.018,25.89,3.545,86986,2014,7,5,6.1206751616005235,12.37894624212364,16.939407337500096
94,700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,47.687,-122.386,1570,4500,31365,7953.0,2.018,25.89,3.545,86986,2014,12,2,6.1206751616005235,12.37894624212364,16.939407337500096
95,905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1946,1991,47.5873,-122.249,1950,6045,22699,3591.0,2.093,19.23,3.915,126359,2014,9,1,4.086182942604129,6.63249602915234,9.834216120004635
96,247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1967,0,47.3576,-122.277,1750,15616,33853,2024.0,3.906,45.95,32.51,48853,2015,3,1,17.368420375866496,20.658798911454692,6.396959849092858
97,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,0,47.3036,-122.378,1160,6400,47510,4604.0,1.903,13.28,6.034,67906,2014,9,5,21.017555473072417,25.948862591962115,10.707939150074361
98,314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1980,0,47.4109,-121.958,1650,135036,31171,469.0,1.548,13.43,5.03,95043,2014,7,5,22.06661652493463,17.706079705306408,16.14555774315471
99,437500.0,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,1992,0,47.4838,-121.714,2550,35065,13888,41.0,2.315,30.36,7.854,88906,2014,5,5,30.042555922436556,22.159056178349424,27.42107414759463
100,850830.0,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,1910,0,47.6415,-122.315,2200,4500,20756,15829.0,4.697,49.21,7.272,65054,2014,6,3,2.5657297519308755,8.636914132248785,13.322055701486443
101,555000.0,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,1929,0,47.6775,-122.372,1610,3478,31365,7953.0,2.018,25.89,3.545,86986,2014,10,1,5.26494850274729,11.586902086120084,16.152650983750167
102,699950.0,3,2.25,2190,107593,2.0,0,0,4,8,2190,0,1983,0,47.7731,-122.08,2570,47777,13585,785.0,1.124,9.068,4.59,137125,2014,12,5,16.445791704253384,9.513561814494684,24.60357242063229
103,1088000.0,3,2.5,2920,8113,2.0,0,0,3,8,2920,0,1950,2010,47.5814,-122.196,2370,8113,27946,3977.0,5.314,49.68,4.461,93521,2014,10,2,6.56911362502832,5.070551404896172,10.329590848697563
104,290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,1954,0,47.4375,-122.184,1640,14910,41938,2215.0,1.834,18.91,6.131,77780,2014,9,3,13.550602050365399,14.186633480397333,5.423098264770405
105,375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,1978,0,47.4431,-122.133,2250,8162,41938,2215.0,1.834,18.91,6.131,77780,2015,4,4,14.604454912001666,13.571062053675229,7.758092543306912
106,460000.0,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1939,0,47.6878,-122.38,1240,4005,31365,7953.0,2.018,25.89,3.545,86986,2014,5,5,6.062949021415753,12.124971900610852,16.928331088024766
107,188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1985,0,47.3813,-122.322,1270,4966,34584,4441.0,3.036,28.04,9.103,56364,2014,7,3,15.546413907961707,19.97449114482002,4.801790354624993
108,680000.0,4,2.5,3140,28037,2.0,0,0,4,10,3140,0,1991,0,47.7304,-122.082,2990,35001,13585,785.0,1.124,9.068,4.59,137125,2015,3,4,14.458966778677548,6.657945829292832,21.911143405906298
109,470000.0,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,1942,0,47.6417,-122.109,2500,9433,58442,2908.0,3.674,23.77,3.818,99192,2014,8,3,10.675151954278022,0.9663897381031281,15.988525302813349
110,597750.0,4,2.5,2310,9624,2.0,0,0,3,8,2310,0,1984,0,47.5386,-122.053,1940,9636,26141,469.0,2.244,14.26,4.039,100644,2014,7,5,13.8232202418115,7.83017592517591,13.038583273322418
111,570000.0,3,1.75,1260,3328,1.0,0,0,5,6,700,560,1905,0,47.6823,-122.349,1380,3536,45911,9905.0,3.018,37.68,5.193,75763,2015,3,3,5.316588519598217,10.63411766510423,16.288661072190457
112,272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,1980,0,47.3624,-122.031,1540,11656,31171,469.0,1.548,13.43,5.03,95043,2014,9,2,21.941333551148784,19.69030542383007,13.879188280072405
113,329950.0,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,1971,0,47.5474,-122.295,2090,5500,22374,2989.0,5.26,47.98,12.22,52232,2014,11,1,4.415445656201217,9.998231039579798,6.801172581448659
114,480000.0,4,2.5,3230,16171,2.0,0,3,3,9,2520,710,2001,0,47.3183,-122.253,2640,8517,31911,1717.0,2.401,18.87,8.3,71746,2014,10,2,20.232449311365606,22.930123702356788,9.28130494971966
115,740500.0,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,1900,1999,47.6981,-122.368,1830,6350,31365,7953.0,2.018,25.89,3.545,86986,2014,11,5,6.565917741036889,11.812735640938461,17.51099992022591
116,518500.0,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,2010,0,47.6824,-122.347,1620,3166,45911,9905.0,3.018,37.68,5.193,75763,2014,6,4,5.310461401445847,10.546679100170417,16.28236864128579
117,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0,47.5009,-122.248,1190,6780,24092,4966.0,3.539,41.63,13.36,58707,2014,6,1,8.265250272134729,11.055487056509735,4.299737659610828
118,171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1950,0,47.4965,-122.303,1880,9000,33734,3794.0,3.43,48.53,8.149,49233,2015,1,4,7.70014431734236,12.768900518488849,3.287826088101484
119,535000.0,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,1925,0,47.587,-122.294,1610,4040,26881,7895.0,5.649,61.92,9.129,55950,2015,5,1,2.2161322661833793,8.477443969643954,9.537615433916235
120,660000.0,3,2.5,2400,6474,1.0,0,2,3,8,1560,840,1964,0,47.7728,-122.386,2340,10856,19030,3341.0,1.705,15.28,6.404,95648,2015,1,5,11.78089535474495,15.0685485840876,22.73839292342832
121,391500.0,3,2.0,1450,9132,1.0,0,0,3,7,1450,0,1987,0,47.7288,-122.226,1580,9104,40407,4428.0,3.867,23.14,3.325,77688,2014,11,3,9.804550391090396,7.630126626346843,19.62792745003612
122,395000.0,2,1.0,770,6000,1.0,0,0,3,6,770,0,1953,0,47.6999,-122.364,1710,6000,31365,7953.0,2.018,25.89,3.545,86986,2015,4,1,6.642182429244421,11.681743390730295,17.600093111099856
